Chapter,Subtitle,id_layer_base,line,Description,Media_Link,Media Link_type,name_Media Link,fact,Zoom,Zoom_view,id _map,Описание что на картах,name_vector_style
,,1,,"Вомитории — проходы, по которым зрители попадают к своим местам в амфитеатре. В окрестностях Петербурга их роль выполняют долины рек — Тосны, Ижоры, Дудергофки, Сестры и многих других, которые прорезают возвышенности и соединяют разные уровни рельефа.",,,,,,,,,
,,1,,"Поэтому сравнение Петербурга с амфитеатром — не просто красивый образ. Оно довольно точно описывает устройство окружающего ландшафта: низменный центр, несколько ярусов возвышенностей и сеть речных долин, соединяющих их в единую систему.",,,,"Перепад высот в якобы “плоском” Петербурге больше, чем в “холмистой” Москве. ",,,7,Маска и вомитории,
Горы Петербурга — геологическая летопись,Как появились горы вокруг Петербурга?,1,1,"В окрестностях Петербурга известно болеее двухсот гор, холмов и возвышенностей. Но важно понимать: это не полный список. Многие названия были забыты или утрачены, и часть из них мы до сих пор заново находим и возвращаем на карту.
И тогда возникает простой вопрос: откуда вообще взялись эти горы вокруг города?",,,,,,,2,,
,,1,,"В следующий раз, проходя мимо холма или возвышенности, попробуйте представить: как давно она здесь появилась и какие процессы её сформировали. Это не случайные неровности рельефа — у каждой из них своя история.",,,,,,,2,,
,,1,,Их происхождение связано с разными этапами истории Земли.,,,,,,,8,,
,,1,1,"450 млн лет назад — древнее море. Конец Ордовикского, начало Силурийского периода.",,,,,,,,,
,,1,,Территория будущего Петербурга была дном мелководного моря. На его дне накапливались осадки — известняки и песчаники. Эти слои стали фундаментом будущих возвышенностей и уступов.,,,,,,,8,,
,,,,"Территория будущего Петербурга была покрыта мелководным морем. Здесь накапливались осадочные породы — известняки, песчаники и мергели, формируя основу будущих плато и уступов. Эти осадки стали фундаментом, на котором впоследствии сформировались основные ступени амфитеатра.",landscape_450.png,right ,,,,,,,
,,1,1,"2,5 млн лет назад — ледники. Силурийский период.",,,,,,,,,
,,1,,"Территорию многократно покрывали ледники. Они сглаживали старый рельеф и одновременно формировали новые холмы и гряды, которые сегодня окружают Петербург с севера и востока.",,,,,,,9,,
,,,,"Происходило постепенное поднятие морского дна, формировались ордовикские и силурийские платформы. Эти поднятия стали прообразом современных высоких уступов — Ордовикского и Силурийского плато, включая Дудергофские высоты, Путиловское плато и Балтийско-Ладожский глинт.",,,,,,,,,
,,1,,"Эти поднятия стали основой современных высоких уступов — Ордовикского и Силурийского плато, включая Дудергофские высоты, Путиловское плато и Балтийско-Ладожский глинт.",landscape_25.png,right,,,,,10,,
,,,1,12 тыс. лет назад — конец ледникового периода. Девонский период.,,,,,,,,,
,,1,,На месте древнего Литоринового моря сформировалась низменная терраса — литориновый уступ. Он стал нижним ярусом будущего «амфитеатра» Петербурга. ,,,,,,,10,,
,,1,,"В это же время ледники ещё отступали и оставляли после себя отложения: моренные холмы, камовые гряды и возвышенности. Из них позже сформировались средние и верхние ярусы рельефа — будущие «бельэтаж» и «балкон».",landscape_12.png,right,,,,,11,,
,,,1,7 тыс. лет назад — послеледниковое время. Четвертичный период.,,,,,,,,,
,,1,,"Рельеф приобрёл современные очертания. Реки и ручьи начали активно прорезать возвышенности, формируя долины — естественные «вомитории», которые разделяют ярусы и соединяют разные уровни ландшафта.",,,,,,,11,,
,,1,,"По этим долинам вода стекает в Неву и Финский залив, создавая современную речную сеть региона.",landscape_7.png,right,,,,,12,расселение финов сложная легенда,
История «горных финнов»,"Горные финны. Освоение человеком территорий, которые в будущем станут окрестностями Петербурга, началось именно с гор  ",1,1,"Первые люди поселились именно на горах. Территория вокруг будущего Петербурга издревле была заселена финно-угорскими народами — карелами,  ижорой, водью, вепсами. Во времена, когда эти места были шведской провинцией Ингерманландия, сюда переселились другие финны: савакоты и эвремейсы.",,,,,,,12,расселение финов сложная легенда,
,,1,,"Их поселения и дороги появлялись прежде всего на возвышенностях. Там было суше, безопаснее и удобнее для жизни и сельского хозяйства, чем в низинах. Мы называем их “горными финнами”: именно эти народы являются коренными для окрестностей Петерубурга.",,,,,,,12,расселение финов сложная легенда,
,,1,,"Так постепенно сложился «горный» каркас расселения — сеть населённых пунктов, привязанная к холмам и возвышенностям. Именно с окружающих гор началось обживание того, что в будущем станет Петербургом. Следы этих процессов мы можем видеть до сих пор — город окружен старинными сёлами, что намного старше его.",,,,,,,12,расселение финов сложная легенда,
,,1,,На старинных картах (конца XVII начала XVIII веков) горы вокруг Петербурга показывают как настоящие горы — даже со снеговыми вершинами ,Map 1735.png,right,,,,,12,расселение финов сложная легенда,
,Мяки и Сельки ,1,1,"Для коренного населения рельеф местности был очень важен, поэтому практически каждый холм и гора имели свои названия. Более того, информация о рельефе часто была зашита в названия деревень: таким образом топонимы служили своеобразной картой. ",,,,,,,13,Карта с мяками и сельками подписанными и горы точки не подписанные,
,,1,,"Это были - мяки (холмы) и -сельки (гряды, хребты). Некоторые места сохраняют эти “горные” корни до сих пор: Коломяги, Вартемяги, Пудомяги, или Корабсельки. Но большнство топонимов было переименовано в совесткие годы: так петербуржцы стали забывать о горах.  Мы нанесли все исторические финские “горные” топонимы на карту, чтобы вернуть ставшим безымянными холмам их имена. ",Suomi.jpg,right,"Старинное финское село Вуолы на холме, фото С. Паулохарьо ",,,,13,Карта с мяками и сельками подписанными и горы точки не подписанные,
,Pietarin valot («Огни Петербурга»),1,1,"Pietarin valot («Огни Петербурга») — автобиографический роман финского писателя Юханни Конкка о взрослении мальчика в ингерманландской деревне Койвумяки на Токсовских высотах, откуда он наблюдает далёкие и манящие огни Петербурга. Через историю героя раскрывается трагическая судьба ингерманландского народа в XX веке.",Pietarin Valot.jpg,right,,,historical_zones_4,1,14,на токсики,
,Призрак Ингерманландии ,1,1,"Несмотря на войны, эмиграции и депортации XX века, потомки коренных народов все еще живут вокруг Петербурга. В настоящее время горных финнов-ингерманландцев осталось немного, но есть немало деревень, в которых они остаются, продолжая традиции древней Ижорской земли и Ингерманландии. ",,,,"Финский топоним «мяки» (фин. mäki — «горка», «холм») широко представлен в Санкт-Петербурге и окрестностях, наиболее известным примером являются Коломяги.",,,13,Карта расселения современных финнов,
Высочайшие наблюдатели,,1,,"После присоединения новых территорий к России в XVIII веке российская аристократия стала строить усадьбы в самых живописных местах — на возвышенностях, в речных долинах и у Финского залива. Используя особенности рельефа, они создавали дворцово-парковые ансамбли с широкими панорамами и каскадами прудов. Эти пейзажи позже стали одним из любимых мотивов русской живописи. Начало этой традиции положил Пётр I, лично выбирая места для путевых дворцов и загородных резиденций.",,,,,,,15,все усадьбы и дачи,
,Южные усадьбы,1,1,"Каждое направление вокруг Петербурга имело свои особенности, но особенно привлекательным был юг с его крутым литориновым уступом, где расположился главный дворец Империи: Петерегоф.",Mariental.jpg,right,Башня замка Бип в Павловском парке на холмистом берегу Славянки,"Под Петербургом есть поселок, стоящий ровно на вершине горы — Фёдоровское. Из него открываются вид на 360 градусов. ",historical_zones_1,1,16,карта зум 1,
,,1,,"Разрезающие горы карстовые речные долины напоминали здесь европейские пейзажи: так возник Павловский парк в долине Славянки, что называли «Русской Швейцарией»; дворянские усадьбы на крутых берегах Тосны с пещерами и водопадами. Южные окрестности Петербурга заселялись наиболее активно: здесь проходила важная дорога на Кронштадт, и вдоль нее на рельефе возникло немало дворцов.",,,,,,,,,
,Николай I и Бельведер в Низино,1,1,"Среди высочайших любителей возвышенных пейзажей особое место занимал император Николай I. На Бабигонских высотах, в окрестностях Низино, он построил дворец-бельведер, откуда открывалась широкая панорама на окрестные земли и Петербург. Неподалёку, на Дудергофских высотах у Красного Села, император наблюдал за военными манёврами и армейскими парадами.
",Belveder.jpg,right,Дворец Бельведер на Бабигонских высотах,,historical_zones_2,1,17,карта зум 2,
,,1,,"Дворянские усадьбы, например, Алексея Толстого, располагались и на крутых берегах Саблинки и Тосны с пещерами и водопадами — на возвышенностях Путиловского плато.",,,,,historical_zones_3,1,18,карта зум 3,
,,1,,"Восточное направление развивалось иначе. Район Колтушей и Рябова являлся одним из центров ингерманландской культуры, поэтому крупных дворянских усадеб здесь было сравнительно немного. Среди наиболее известных выделялись владения родов Чоглоковых и Всеволожских.",,,,,,,,,
,,1,1,"На Колтушской возвышенности располагалась усадьба Рябово, принадлежавшая Всеволожским. Это был крупный дворянский комплекс, который, однако, не сохранился до наших дней. Значительную часть населения Колтушей и Лемболовской возвышенности составляли ингерманландские финны, что также влияло на характер освоения территории и ограничивало распространение крупных помещичьих владений.",Ryabovo.jpg,right,,,historical_zones_4,1,19,карта зум 4,
,,1,,"Север региона, известный как «Чухонская Швейцария», получил развитие позднее, лишь во второй половине XIX — начале XX века.: с приходом железной дороги усадебную культуру здесь постепенно сменила дачная жизнь, сделав живописные пейзажи доступными более широкому кругу жителей Петербурга.  ",Kellomaki.jpg,right,,,historical_zones_5,1,20,карта зум 5,
,,1,1,"Строительство железных дорог сделало северные окрестности Петербурга более доступными, и они постепенно превратились в популярные дачные районы, привлекавшие жителей столицы своими живописными ландшафтами и близостью к природе.",,,,"Вокруг Петербурга есть три горы Парнас: в Шуваловском парке Парголово, в усадьбе Михайловка (Михайловская дача) и в Александровском парке в Пушкине. ",historical_zones_5,1,20,карта зум 5,
,Горная живопись ,1,1,"Холмы и возвышенности окрестностей Петербурга имели значение не только для хозяйственного освоения территории, но и занимали важное место в культурной жизни региона. Живописные горные пейзажи привлекали художников, которые нередко изображали их на литографиях дворцово-парковых ансамблей и дворянских усадеб.

",,,,,amphitheater_bound,,21,живопись,
,,1,,"На таких изображениях часто встречаются прогулки аристократов по паркам, панорамные виды поместий и пасторальные сцены сельской жизни. Возвышенности служили естественными смотровыми площадками, позволяя подчеркнуть красоту окружающего ландшафта и величие усадебных комплексов. ",,,,,,,21,живопись,
Горы сейчас,Горные активности,1,1,"В советский период горы стали центрами массового спорта — лыжного, туристического и ориентирования. Их близость к городу делала такие ландшафты доступными для повседневного отдыха.",Jukki.jpg,,"Дормидонтов Н. И. (1898-1962) "" Лыжница"" - картина написана в Юкках в 1931 году",,,,22,использование и маршруты,
,,1,," Сегодня интерес к возвышенностям возрождается через экотропы, смотровые площадки и маршруты выходного дня. Здесь сосредоточены уникальные активности: горнолыжные склоны, точки для парапланерного спорта, конно-спортивные клубы и трассы для МТБ.",,,,,,,22,использование и маршруты,
,,1,1,"Вы можете сами совершить хайкинг: погулять или проехаться на велосипеде по многочисленным петербургским горам, насладившись видами на родные просторы. Это сделали мы — пользуйтесь нашими треками! И давайте мечтать о том, чтобы по возвышенностям вокруг города прошла Большая Горная Тропа, а виды с гор не были застроены: для этого нужно разработать план управления видами ",,,,,,,23,,
