Chapter;Subtitle;id_layer_base;Description;Media Link;Link;Zoom;id _map;Описание что на картах
Горы Петербурга — геологическая летопись;;1;7 тыс. лет назад — послеледниковое время. Четвертичный период.;;;amphitheater_bound;11;landscape_7.png
Горы Петербурга — геологическая летопись;;1;"Рельеф приобрёл современные очертания. Реки и ручьи начали активно прорезать возвышенности, формируя долины — естественные «вомитории», которые разделяют ярусы и соединяют разные уровни ландшафта.
По этим долинам вода стекает в Неву и Финский залив, создавая современную речную сеть региона.";;;amphitheater_bound;11;
Горы Петербурга — геологическая летопись;;1;Горные финны. Освоение человеком территорий, которые в будущем станут окрестностями Петербурга, началось именно с гор  ;;;amphitheater_bound;12;расселение финов сложная легенда
История «горных финнов»;;1;"Первые люди поселились именно на горах. Территория вокруг будущего Петербурга издревле была заселена финно-угорскими народами — карелами,  ижорой, водью, вепсами. Во времена, когда эти места были шведской провинцией Ингерманландия, сюда переселились другие финны: савакоты и эвремейсы. 

Их поселения и дороги появлялись прежде всего на возвышенностях. Там было суше, безопаснее и удобнее для жизни и сельского хозяйства, чем в низинах. Мы называем их “горными финнами”: именно эти народы являются коренными для окрестностей Петерубурга.

Так постепенно сложился «горный» каркас расселения — сеть населённых пунктов, привязанная к холмам и возвышенностям. Именно с окружающих гор началось обживание того, что в будущем станет Петербургом. Следы этих процессов мы можем видеть до сих пор — город окружен старинными сёлами, что намного старше его.";;;amphitheater_bound;12;расселение финов сложная легенда
История «горных финнов»;;1;На старинных картах (конца XVII начала XVIII веков) горы вокруг Петербурга показывают как настоящие горы — даже со снеговыми вершинами ;;;amphitheater_bound;12;расселение финов сложная легенда
История «горных финнов»;Мяки и Сельки ;1;Для коренного населения рельеф местности был очень важен, поэтому практически каждый холм и гора имели свои названия. Более того, информация о рельефе часто была зашита в названия деревень: таким образом топонимы служили своеобразной картой. Это были - мяки (холмы) и -сельки (гряды, хребты). Некоторые места сохраняют эти “горные” корни до сих пор: Коломяги, Вартемяги, Пудомяги, или Корабсельки. Но большнство топонимов было переименовано в совесткие годы: так петербуржцы стали забывать о горах.  Мы нанесли все исторические финские “горные” топонимы на карту, чтобы вернуть ставшим безымянными холмам их имена. ;;;amphitheater_bound;13;Карта с мяками и сельками подписанными и горы точки не подписанные
История «горных финнов»;Pietarin valot («Огни Петербурга»);1;Pietarin valot («Огни Петербурга») — автобиографический роман финского писателя Юханни Конкка о взрослении мальчика в ингерманландской деревне Койвумяки на Токсовских высотах, откуда он наблюдает далёкие и манящие огни Петербурга. Через историю героя раскрывается трагическая судьба ингерманландского народа в XX веке.;;;historical_zones_5;14;на токсики
История «горных финнов»;Призрак Ингерманландии ;1;Несмотря на войны, эмиграции и депортации XX века, потомки коренных народов все еще живут вокруг Петербурга. В настоящее время горных финнов-ингерманландцев осталось немного, но есть немало деревень, в которых они остаются, продолжая традиции древней Ижорской земли и Ингерманландии. ;;;amphitheater_bound;13;Карта расселения современных финнов
Высочайшие наблюдатели;;1;После присоединения новых территорий к России в XVIII веке российская аристократия стала строить усадьбы в самых живописных местах — на возвышенностях, в речных долинах и у Финского залива. Используя особенности рельефа, они создавали дворцово-парковые ансамбли с широкими панорамами и каскадами прудов. Эти пейзажи позже стали одним из любимых мотивов русской живописи. Начало этой традиции положил Пётр I, лично выбирая места для путевых дворцов и загородных резиденций.;;;amphitheater_bound;15;все усадьбы и дачи
Высочайшие наблюдатели;Южные усадьбы;1;"Каждое направление вокруг Петербурга имело свои особенности, но особенно привлекательным был юг с его крутым литориновым уступом, где расположился главный дворец Империи: Петерегоф. Разрезающие горы карстовые речные долины напоминали здесь европейские пейзажи: так возник Павловский парк в долине Славянки, что называли «Русской Швейцарией»; дворянские усадьбы на крутых берегах Тосны с пещерами и водопадами. Южные окрестности Петербурга заселялись наиболее активно: здесь проходила важная дорога на Кронштадт, и вдоль нее на рельефе возникло немало дворцов.";;;historical_zones_1;16;карта зум 1
;;1;"Среди высочайших любителей возвышенных пейзажей особое место занимал император Николай I. На Бабигонских высотах, в окрестностях Низино, он построил дворец-бельведер, откуда открывалась широкая панорама на окрестные земли и Петербург. Неподалёку, на Дудергофских высотах у Красного Села, император наблюдал за военными манёврами и армейскими парадами.
";;;historical_zones_2;17;карта зум 2
Высочайшие наблюдатели;Николай I и Бельведер в Низино;1;Дворянские усадьбы, например, Алексея Толстого, располагались и на крутых берегах Саблинки и Тосны с пещерами и водопадами — на возвышенностях Путиловского плато.;;;historical_zones_3;18;карта зум 3
Высочайшие наблюдатели;;1;"Восточное направление развивалось иначе. Район Колтушей и Рябова являлся одним из центров ингерманландской культуры, поэтому крупных дворянских усадеб здесь было сравнительно немного. Среди наиболее известных выделялись владения родов Чоглоковых и Всеволожских.

На Колтушской возвышенности располагалась усадьба Рябово, принадлежавшая Всеволожским. Это был крупный дворянский комплекс, который, однако, не сохранился до наших дней. Значительную часть населения Колтушей и Лемболовской возвышенности составляли ингерманландские финны, что также влияло на характер освоения территории и ограничивало распространение крупных помещичьих владений.";;;historical_zones_4;19;карта зум 4
Высочайшие наблюдатели;;1;Север региона, известный как «Чухонская Швейцария», получил развитие позднее: с приходом железной дороги усадебную культуру здесь постепенно сменила дачная жизнь, сделав живописные пейзажи доступными более широкому кругу жителей Петербурга. Массовое развитие этих земель началось значительно позже — лишь во второй половине XIX — начале XX века. Строительство железных дорог сделало северные окрестности Петербурга более доступными, и они постепенно превратились в популярные дачные районы, привлекавшие жителей столицы своими живописными ландшафтами и близостью к природе.;;;historical_zones_5;20;карта зум 5
Высочайшие наблюдатели;Горы за окном и на стене;1;"Холмы и возвышенности окрестностей Петербурга имели значение не только для хозяйственного освоения территории, но и занимали важное место в культурной жизни региона. Живописные пейзажи привлекали художников, которые нередко изображали их на литографиях дворцово-парковых ансамблей и дворянских усадеб.

На таких изображениях часто встречаются прогулки аристократов по паркам, панорамные виды поместий и пасторальные сцены сельской жизни. Возвышенности служили естественными смотровыми площадками, позволяя подчеркнуть красоту окружающего ландшафта и величие усадебных комплексов. Для дворянства природа была не просто фоном повседневной жизни, а важной частью культурного идеала, воплощавшего гармонию человека и окружающего мира.";;;amphitheater_bound;21;живопись
Горы сейчас;как люди используют люди сейчас разные активности;1;как люди используют люди сейчас разные активности;;;amphitheater_bound;22;использование и маршруты
Горы сейчас;как люди используют люди сейчас разные активности;1;а созерцают ли люди и наши фотки гор;;;amphitheater_bound;23;
